,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
138,5aizc_c,mthgxl_c,tyr_L_e,glyphe_c,cbasp_c,pg181_c,HC01710_c,dmpp_c,urea_c,3hoctaACP_c
139,gua_c,ihpdcoa_c,dcmp_c,14mtpentdec2eACP_c,2ahhmd_c,grdp_c,gcald_e,9m3odcaACP_c,thr_L_c,icit_c
140,sbzcoa_c,s7p_c,dnad_c,for_e,btn_co2_c,14mpentdecACP_c,dtbt_c,malt_c,3hoctaACP_c,oaa_c
141,paai17_c,asp_L_c,g3pe_c,ihpdcoa_c,pre3a_c,idp_c,pg141_c,gam6p_c,icit_c,dhptd_c
142,g3p_c,fum_c,thfglu_c,s7p_c,ps140_c,gar_c,thr_L_c,cit_c,oaa_c,dgtp_c
143,rhcys_c,thmpp_c,1hdecg3p_c,pe140_c,fru_e,10fthf_c,icit_c,4m3hhexACP_c,dhptd_c,15mpalmACP_c
144,glyleu_c,orot5p_c,suchms_c,fum_c,1odecg3p_c,15m3hpalmACP_c,3hoctaACP_c,rnam_c,dgtp_c,4adcho_c
145,glygln_c,aacoa_c,pg160_c,orot5p_c,leu_L_e,5aizc_c,asn_L_e,cyst_L_c,15mpalmACP_c,thymd_e
146,2mecdp_c,aicar_c,peptmetox_L_c,thmpp_c,glycogen_c,glycys_c,oaa_c,clpn140_c,pei14_c,glc_bD_c
147,phyldpp_c,chor_c,ser_L_c,aacoa_c,glyphe_c,gua_c,dgtp_c,dhor_S_c,4adcho_c,cbp_c
148,23dhdp_c,7m3oocACP_c,cdpglyc_c,aicar_c,14mtpentdec2eACP_c,paai17_c,15mpalmACP_c,hspg_degr_5_e,thymd_e,h2_c
149,pgp140_c,grdp_c,ahcys_c,chor_c,for_e,tre_c,pei14_c,pgi14_c,glc_bD_c,acgam_c
150,orn_c,14mpentdecACP_c,uaGgla_c,7m3oocACP_c,mthgxl_c,g3p_c,4adcho_c,gcald_e,cbp_c,cbasp_c
151,3h3mop_c,idp_c,clpni14_c,fmnh2_c,oxa_e,glyleu_c,thymd_e,HC01710_c,h2_c,cdpdddecg_c
152,uaagtmda_c,8m3odcaACP_c,cdpdihpdecg_c,nmn_c,s7p_c,rhcys_c,glc_bD_c,dtbt_c,acgam_c,34hpp_c
153,thglu_c,gar_c,akg_c,5mtr_c,pe140_c,colipa_c,cbp_c,pg141_c,cdpdaipdecg_c,2ahhmd_c
154,skm_c,10fthf_c,prpp_c,pg181_c,fum_c,Naccitr_L_c,h2_c,urea_c,cdpdddecg_c,cdpdaipdecg_c
155,hmbil_c,15m3hpalmACP_c,man6p_c,grdp_c,thmpp_c,2mecdp_c,acgam_c,thr_L_c,34hpp_c,phyQ_c
156,ala_L_c,5aizc_c,pendp_c,14mpentdecACP_c,orot5p_c,phphhlipa_c,cdpdaipdecg_c,3hoctaACP_c,cbasp_c,pre3a_c
157,pg180_c,but_c,dpcoa_c,idp_c,aacoa_c,glyclt_c,cdpdddecg_c,icit_c,2ahhmd_c,kdolipid4_c
158,26dap_M_c,3oddecACP_c,mnl1p_c,tcam_c,aicar_c,23dhdp_c,34hpp_c,hspg_degr_1_e,btn_co2_c,3hdecACP_c
159,agam1b3agal_e,4hthr_c,cdpdipdecg_c,8m3odcaACP_c,chor_c,pgp140_c,cbasp_c,oaa_c,phyQ_c,leu_L_e
160,mal_L_c,gua_c,1tdecg3p_c,10fthf_c,co2dam_c,orn_c,2ahhmd_c,dgtp_c,ps140_c,glycogen_c
161,alahis_c,paai17_c,dscl_c,gar_c,fmnh2_c,copre8_c,pgpi17_c,15mpalmACP_c,kdolipid4_c,13mmyrsACP_c
162,maltttr_c,g3p_c,q8h2_c,15m3hpalmACP_c,nmn_c,hisp_c,btn_co2_c,pei14_c,3hdecACP_c,glyphe_c
163,pgp160_c,glyleu_c,pa120_c,5aizc_c,2ins_c,uaagtmda_c,phyQ_c,4adcho_c,leu_L_e,14mtpentdec2eACP_c
