,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
121,his_L[c],ocdcaACP[c],5aop[c],histd[c],np2msucc[c],phom[c],2ins[c],4h2oglt[c],12mmyrsACP[c],cdpdddecg[c]
122,alahis[c],pa180[c],cdpdipdecg[c],malt[c],pa120[c],fa11[c],acgam[c],glx[c],10mtddec2eACP[c],ai17tcaacgam[c]
123,ser_D[c],gdp[c],cmp[c],12mmyrsACP[c],cdpdddecg[c],udcpp[c],urea[c],acgal[c],ca2[c],copre3[c]
124,uamr[c],dcyt[c],ac[c],ca2[c],inost[c],ump[c],histd[c],orn[c],mlthf[c],acgam[c]
125,acmanap[c],isobut[c],n8aspmd[c],mlthf[c],amet[c],cellb[c],malt[c],pa120[c],cu2[c],urea[c]
126,fadh2[c],o2[c],leu_L[c],mnl1p[c],copre3[c],glc_bD[c],ppp9[c],cdpdddecg[c],hhlipa[c],histd[c]
127,orot[c],gicolipa[c],cu2[c],f6p[c],acgam[c],ocdcaACP[c],12mmyrsACP[c],ai17tcaacgam[c],phhlipa[c],malt[c]
128,mal_L[c],hcys_L[c],3dhsk[c],cu2[c],urea[c],gdp[c],10mtddec2eACP[c],copre3[c],cd2[c],ppp9[c]
129,itdcoa[c],5m3hhexACP[c],glyald[c],3hdcoa[c],histd[c],butpi[c],ca2[c],acgam[c],25aics[c],12mmyrsACP[c]
130,glytyr[c],malcoa[c],glu5sa[c],pgpi17[c],ru5p_D[c],btcoa[c],mlthf[c],urea[c],etoh[c],10mtddec2eACP[c]
131,1tdecg3p[c],malACP[c],btoh[c],pgi17[c],pydx5p[c],o2[c],cu2[c],histd[c],hxan[c],ca2[c]
132,HC01651[c],3opalmACP[c],btal[c],25aics[c],12mmyrsACP[c],udpg[c],hhlipa[c],malt[c],imp[c],mlthf[c]
133,datp[c],gthrd[c],dgmp[c],1agpe180[c],ca2[c],gicolipa[c],phhlipa[c],12mmyrsACP[c],pan4p[c],cu2[c]
134,1agpe141[c],pyr[c],dgdp[c],etoh[c],mlthf[c],5mta[c],pgpi17[c],10mtddec2eACP[c],aps[c],hhlipa[c]
135,g3pe[c],cdp[c],fum[c],hxan[c],mnl1p[c],ade[c],pgi17[c],ca2[c],15m3opalmACP[c],phhlipa[c]
136,pppi[c],12m3otridecACP[c],2dmmq8[c],imp[c],f6p[c],5m3hhexACP[c],25aics[c],mlthf[c],ppgpp[c],25aics[c]
137,g6p[c],12m3htridecACP[c],arg_L[c],pan4p[c],cu2[c],malcoa[c],hxan[c],cu2[c],gdp[c],etoh[c]
138,1hdec9eg3p[c],ura[c],citr_L[c],15m3opalmACP[c],3hdcoa[c],3opalmACP[c],imp[c],hhlipa[c],adn[c],pan4p[c]
139,hdcea[c],2ombz[c],ugmd[c],diglcpg180[c],25aics[c],palmACP[c],glyc3p[c],phhlipa[c],dgdp[c],aps[c]
140,citr_L[c],ser_L[c],ile_L[c],2ddecg3p[c],1agpe180[c],pa160[c],pan4p[c],cd2[c],ugmd[c],15m3opalmACP[c]
141,argsuc[c],trdox[c],frdp[c],ppgpp[c],etoh[c],cdp[c],aps[c],pgpi17[c],cdpdipdecg[c],ppgpp[c]
142,for[c],hlipa[c],ggdp[c],gdp[c],hxan[c],12m3otridecACP[c],15m3opalmACP[c],pgi17[c],spmd[c],gdp[c]
143,e4p[c],hhlipa[c],3ohcoa[c],1agpg181[c],imp[c],12m3htridecACP[c],ppgpp[c],25aics[c],ump[c],adn[c]
144,fum[c],peai17[c],datp[c],i17tcaacgam[c],3uib[c],ser_L[c],gdp[c],etoh[c],mg2[c],2ddglcn[c]
145,lys_L[c],adn[c],ddca[c],dgdp[c],pan4p[c],trdox[c],adn[c],hxan[c],4m3hhexACP[c],dgdp[c]
146,ai15tca1[c],aacoa[c],pro_L[c],ugmd[c],15m3opalmACP[c],12dgr181[c],2ddglcn[c],imp[c],4ppcys[c],ugmd[c]
147,adhlam[c],glycogenb[c],amet[c],cdpdipdecg[c],2ddecg3p[c],hlipa[c],dgdp[c],glyc3p[c],ahdt[c],cdpdipdecg[c]
148,lpam[c],lipidAds[c],3ohdcoa[c],spmd[c],ppgpp[c],hhlipa[c],ugmd[c],pan4p[c],acnam[c],spmd[c]
149,fdxrd[c],lipidA[c],13dpg[c],orn[c],gdp[c],uri[c],cdpdipdecg[c],aps[c],g1p[c],ump[c]
150,fdxox[c],cdpdihdecg[c],10m3hundecACP[c],ump[c],1agpg181[c],r1p[c],spmd[c],15m3opalmACP[c],pb[c],mg2[c]
151,2p4c2me[c],thf[c],2agpg140[c],ai17tcaglc[c],adpglc[c],glycogenb[c],ump[c],ppgpp[c],g6p_B[c],4m3hhexACP[c]
152,xylu_L[c],methf[c],ttdca[c],aacald[c],dgdp[c],5aop[c],pgp160[c],gdp[c],trdrd[c],4ppcys[c]
153,gua[c],pro_L[c],5mthglu[c],pgp160[c],ugmd[c],lipidAds[c],mg2[c],adn[c],7m3hocACP[c],ahdt[c]
154,dgsn[c],glyleu[c],thglu[c],mg2[c],cdpdipdecg[c],lipidA[c],4m3hhexACP[c],2ddglcn[c],myrsACP[c],acnam[c]
155,dtdpglu[c],leu_L[c],alaglu[c],4m3hhexACP[c],spmd[c],cdpdipdecg[c],4ppcys[c],dgdp[c],dump[c],g1p[c]
156,lcts[c],cu2[c],prpp[c],4ppcys[c],ump[c],thf[c],ahdt[c],ugmd[c],prbatp[c],pb[c]
157,gal[c],3dhsk[c],glyasn[c],sttcaglc[c],glypro[c],Largn[c],acnam[c],cdpdipdecg[c],fdp[c],trdrd[c]
158,meoh[c],fa6[c],h2mb4p[c],ahdt[c],aacald[c],leu_L[c],g1p[c],spmd[c],his_L[c],7m3hocACP[c]
159,glycogen[c],btoh[c],1agpe120[c],pb[c],mg2[c],cu2[c],pb[c],ump[c],alahis[c],dma[c]
160,cobalt2[c],btal[c],g3pe[c],trdrd[c],4m3hhexACP[c],3dhsk[c],trdrd[c],pgp160[c],citr_L[c],dmlarg[c]
161,cyst_L[c],dgmp[c],PGP[c],7m3hocACP[c],4ppcys[c],fa6[c],7m3hocACP[c],mg2[c],cbp[c],myrsACP[c]
162,2s5epchc[c],dgdp[c],xan[c],td2coa[c],ahdt[c],glu5sa[c],myrsACP[c],4m3hhexACP[c],uamr[c],dump[c]
163,dhna[c],ac[c],xtsn[c],3htdcoa[c],g1p[c],btoh[c],dump[c],4ppcys[c],cdpdtdec7eg[c],cpppg3[c]
164,2dmmql8[c],fum[c],akg[c],myrsACP[c],pb[c],btal[c],cpppg3[c],ahdt[c],fadh2[c],dad_5[c]
165,btn[c],2dmmq8[c],ppcoa[c],arg_L[c],glc_bD[c],dgmp[c],dad_5[c],g1p[c],acglu[c],prbatp[c]
166,chor[c],arg_L[c],phe_L[c],3pg[c],g6p_B[c],dgdp[c],prbatp[c],pb[c],orot[c],fdp[c]
167,4adcho[c],citr_L[c],phpyr[c],dutp[c],trdrd[c],ac[c],fdp[c],trdrd[c],mal_L[c],his_L[c]
168,10fthf[c],ugmd[c],utp[c],glyc45tca[c],7m3hocACP[c],fum[c],succ[c],7m3hocACP[c],8aonn[c],alahis[c]
169,2agpe160[c],ile_L[c],5aizc[c],dump[c],td2coa[c],ugmd[c],his_L[c],myrsACP[c],7mtoct2eACP[c],citr_L[c]
170,hdca[c],pheme[c],camp[c],ivcoa[c],3htdcoa[c],ile_L[c],alahis[c],dump[c],3hoctACP[c],cbp[c]
