gcald_c	nadh_c
h2o_c	adocbl_c
trp_L_c	biomass_c
adp_c	dgtp_c
h2o_e	MGlcn106_rl_e
4ahmmp_c	adp_c
utp_c	PGPm1_c
ahdt_c	dhnpt_c
nad_c	mlthf_c
h2o_e	cholate_e
12m3htridecACP_c	h_c
dhna_c	co2_c
dpcoa_c	adp_c
rhcys_c	ahcys_c
12mttritec2eACP_c	nad_c
ppi_c	fdp_c
cytd_c	dcdp_c
dmpp_c	h2mb4p_c
6mthept2eACP_c	nad_c
MGlcn75_rl_e	MGlcn74_rl_e
his_L_c	apoACP_c
co2_c	pmACP_c
glu_L_c	10fthf5glu_c
MGlcn92_rl_e	MGlcn28_rl_e
nadp_c	glu5p_c
ser_L_c	adp_c
h2o_c	h_c
h_c	3opACPm_c
mqn8_c	fum_c
o2s_c	o2_c
h_c	abt_c
gam6p_c	gam1p_c
3a2opp_c	h2o_c
fe2_c	adp_c
4ampm_c	adp_c
nadph_c	8m3hnonACP_c
actp_c	pi_c
12dgr160_c	adp_c
MGlcn126_rl_e	MGlcn165_rl_e
14m3hpalmACP_c	h_c
asp_L_c	Largn_c
ac_c	ppi_c
nh4_c	amp_c
4izp_c	h_c
mn2_c	apoACP_c
MGlcn69_e	MGlcn26_e
MGlcn181_e	MGlcn168_e
glc_D_c	glc_bD_c
MGlcn137_rl_e	acgam_e
MGlcn195_e	fuc_L_e
ai17tcaglc_c	ai17tca1_c
coa_c	pi_c
h2o_e	MGlcn80_e
MGlcn50_rl_e	fuc_L_e
phthr_c	pi_c
gln_L_c	adp_c
trdox_c	trdrd_c
h2o_c	lac_L_c
pro_L_e	adp_c
h2o_e	MGlcn83_e
h2o_c	forglu_c
MGlcn102_e	MGlcn130_e
gmp_c	adp_c
h_c	prodthl_c
MGlcn51_e	acnam_e
MGlcn147_e	acnam_e
gicolipa_c	udp_c
tsul_c	trdox_c
glu_L_c	pser_L_c
MGlcn69_e	fuc_L_e
26dap_LL_c	glu_L_c
atp_c	trdox_c
fa3_c	amp_c
e4p_c	s7p_c
odecoa_c	coa_c
air_c	for_c
ahcys_c	2dmmq8_c
dhor_S_c	cbasp_c
udcpdp_c	apoACP_c
udp_c	atp_c
pi_c	h_c
ca2_c	PGPm1_c
MGlcn76_rl_e	MGlcn25_rl_e
h2o_e	MGlcn192_e
isocapr_e	isocapr_c
thf_c	aicar_c
gly_c	PGPm1_c
nadh_c	pi_c
h_e	isobut_c
sucbz_c	amp_c
zn2_c	adp_c
nad_c	udpglcur_c
akg_c	h2o_c
atp_c	cbl2_c
fum_c	succ_c
uacmam_c	h_c
tdcoa_c	coa_c
cbl1_e	pi_c
tyr_L_c	adp_c
ala_L_c	alagln_c
h_c	fdxrd_c
rmn_c	h_e
uacgam_c	i14tcaacgam_c
h_c	h2o2_c
h_c	hom_L_c
nad_c	aspsa_c
h2o_e	MGlcn171_e
nadh_c	12ppd_S_c
co2_c	C11821_c
galur_c	h_e
ACP_c	3hmrsACP_c
h2o_e	MGlcn96_rl_e
amet_c	pre3a_c
14m3hpentdecACP_c	h2o_c
MGlcn104_e	MGlcn96_e
sttcaacgam_c	sttca1_c
icit_c	HC01434_c
h_c	cytd_e
ppgpp_c	ppi_c
h2o_e	MGlcn71_rl_e
i16tca1_c	udp_c
thr_L_c	h_e
2ippm_c	3c2hmp_c
MGlcn174_e	acgam_e
h_c	14m3opentdecACP_c
o2_c	h2o2_c
fadh2_c	succ_c
ala_L_c	alahis_c
MGlcn6_e	acnam_e
h2o_e	MGlcn32_rl_e
12daipdglyc_c	h_c
udp_c	i14tca1_c
mg2_c	PGPm1_c
hphhlipa_c	h_c
h2o_e	MGlcn129_rl_e
kdo8p_c	kdo_c
2mbutACP_c	4m3ohexACP_c
2mpropACP_c	ibcoa_c
1ihdecg3p_c	h_c
2h3oppan_c	nad_c
hpyr_c	nad_c
u23ga_c	ump_c
palmACP_c	ACP_c
thf_c	5thf_c
pa161_c	cdpdhdec9eg_c
h2o_e	MGlcn99_rl_e
h2o_c	aps_c
adp_c	hco3_c
sttcaglc_c	sttca1_c
coa_c	oaa_c
meoh_c	mbdg_c
utp_c	adp_c
MGlcn30_e	MGlcn28_e
nadph_c	4m3hpentACP_c
ppi_c	gal1p_c
MGlcn119_e	MGlcn108_e
hco3_c	h2o_c
mana_c	h_c
metala_c	ala_L_c
4h2oglt_c	pyr_c
acser_c	so3_c
dcyt_e	dcyt_c
atp_c	ca2_c
nadph_c	icit_c
uaagmda_c	pi_c
udp_c	ai17tca1_c
acglu_c	acorn_c
glyasp_c	asp_L_c
dutp_c	ump_c
MGlcn70_rl_e	fuc_L_e
nadh_c	g3p_c
4mpetz_c	thmmp_c
h2o_e	MGlcn114_rl_e
acmana_c	acgam_c
r5p_c	h_c
15m3hpalmACP_c	nadph_c
nad_c	ppi_c
nicrns_c	h_c
MGlcn72_rl_e	acgam_e
xtsn_c	xan_c
MGlcn104_e	MGlcn91_e
butpi_c	but_c
MGlcn30_rl_e	MGlcn28_rl_e
g3p_c	fdp_c
udp_c	amp_c
malcoa_c	coa_c
h_c	asp_L_c
histl_L_c	nadh_c
gln_L_c	4adcho_c
MGlcn66_e	gal_e
pyr_c	thmpp_c
val_L_c	biomass_c
nad_c	his_L_c
atp_c	acg5p_c
h2o_e	MGlcn149_e
gln_L_c	aicar_c
acnam_c	pyr_c
3dhchol_e	nad_c
3hddecACP_c	3oddecACP_c
frdp_c	ppi_c
MGlcn66_e	MGlcn166_e
i15tca1_c	udp_c
ura_c	duri_c
MGlcn100_rl_e	acnam_e
f1a_rl_e	gal_e
gtp_c	dgtp_c
nadp_c	nadph_c
aihpdcoa_c	paai17_c
MGlcn61_rl_e	gal_e
core2_e	acgam_e
f6p_c	h_c
MGlcn64_e	fuc_L_e
h2o_e	MGlcn153_rl_e
gsn_e	gsn_c
14mtpentdec2eACP_c	14mpentdecACP_c
k_c	h_c
lac_D_c	nadh_c
so4_c	h_c
dmpp_c	ppi_c
ca2_c	adp_c
thm_c	amp_c
h2o_e	gncore1_e
sbt_D_c	h_c
6m3hocACP_c	6mtoct2eACP_c
gly_c	adp_c
dudp_c	dutp_c
atp_c	phom_c
gdp_c	gdpmann_c
hmbil_c	h2o_c
ppi_c	ocdca_c
lac_D_c	h_e
fa6_c	ppi_c
MGlcn53_rl_e	acnam_e
stys_e	adp_c
nh4_c	adp_c
13m3hmyrsACP_c	h2o_c
accoa_c	adp_c
uacmam_c	uacgam_c
6m3oheptACP_c	6m3hheptACP_c
xmp_c	ppi_c
dhap_c	mthgxl_c
4abut_e	4abut_c
alpro_c	dhlpro_c
kdo2lipid4_c	ACP_c
nadp_c	5m3ohexACP_c
cdp_c	ctp_c
MGlcn70_e	gal_e
h_c	2dmmq8_c
drib_c	2dr5p_c
dhap_c	f1p_c
nadh_c	lac_D_c
gicolipa_c	h_c
MGlcn31_rl_e	MGlcn26_rl_e
dgmp_c	pi_c
glu_L_c	coa_c
tdcoa_c	myrsACP_c
alagln_c	gln_L_c
MGlcn92_e	gal_e
MGlcn77_rl_e	MGlcn148_rl_e
glu_L_c	val_L_c
h_e	4hbz_c
fdp_c	f6p_c
pphn_c	34hpp_c
h2o_c	ncptrc_c
h2o_e	MGlcn61_rl_e
nad_c	co2_c
h2o_e	MGlcn19_e
achms_c	h_c
asp_L_c	biomass_c
MGlcn31_rl_e	fuc_L_e
amp_c	adn_c
6mheptACP_c	ACP_c
dgdp_c	dgmp_c
ppaca_c	pi_c
MGlcn59_e	MGlcn6_e
metsox_S_L_e	adp_c
pgai15_c	clpnai15_c
3hoctaACP_c	h2o_c
MGlcn186_e	MGlcn189_e
nadph_c	4m3hhexACP_c
adocbl_e	adocbl_c
akg_c	3mop_c
MGlcn12_rl_e	gal_e
h2o_e	MGlcn108_e
appl_c	adp_c
acgam_e	acgam_c
asp_L_c	ala_B_c
malACP_c	3ogACPm_c
sbzcoa_c	dhna_c
i16tca1_c	h_c
MGlcn75_e	gal_e
MGlcn25_rl_e	fuc_L_e
MGlcn80_e	MGlcn83_e
alac_S_c	nadp_c
pheme_e	pi_c
h2o_e	MGlcn169_rl_e
nadp_c	nh4_c
MGlcn180_e	acgam_e
3oddecACP_c	3hddecACP_c
glu_L_c	h_c
MGlcn161_e	fuc_L_e
glyclt_c	h_c
gdp_c	atp_c
trdrd_c	dcdp_c
h_c	7m3oocACP_c
MGlcn95_e	MGlcn26_e
pdx5p_c	nadh_c
h_c	9m3odcaACP_c
MGlcn71_e	fuc_L_e
pydxn_c	pdx5p_c
h_c	2dmmql8_c
MGlcn84_rl_e	MGlcn109_rl_e
MGlcn80_e	acgam_e
MGlcn145_e	MGlcn141_e
MGlcn107_rl_e	fuc_L_e
h2o_e	MGlcn181_rl_e
MGlcn111_e	gal_e
MGlcn180_rl_e	MGlcn15_rl_e
g1p_c	gal1p_c
MGlcn165_e	acnam_e
MGlcn53_rl_e	gal_e
h_c	thr_L_e
MGlcn127_rl_e	fuc_L_e
aspsa_c	hom_L_c
h_c	trdrd_c
MGlcn92_e	MGlcn28_e
tddec2eACP_c	nad_c
imp_c	dcamp_c
26dap_M_c	h_c
dgtp_c	biomass_c
ala_L_c	h2o_c
h2o_e	MGlcn181_e
dxyl5p_c	amp_c
MGlcn95_e	fuc_L_e
dgchol_e	h_e
glu_L_c	forglu_c
MGlcn97_e	MGlcn158_e
ocdca_c	ocdca_e
MGlcn179_rl_e	MGlcn167_rl_e
MGlcn83_e	MGlcn46_e
h2o_e	MGlcn174_e
prodthl_c	h_c
atp_c	apoACP_c
6m3hheptACP_c	6mthept2eACP_c
dscl_c	ahcys_c
h2o_c	pro_L_c
tdeACP_c	ACP_c
atp_c	h_e
MGlcn158_rl_e	core2_rl_e
h_c	5mhexACP_c
3mob_c	thf_c
10m3hundecACP_c	10m3oundecACP_c
cro4_c	h_c
MGlcn12_e	gal_e
h2o_e	MGlcn76_e
thr_L_c	2obut_c
3hhexACP_c	thex2eACP_c
h_c	dxyl5p_c
